m_iHMissionType,m_iHMissionID,m_iHMissionName,m_iHTaskType,m_iHTaskID,m_iHNPCID,m_iHJournalNPCID,m_iHTerminatorNPCID,m_iHDifficultyType,m_iHBarkerTextID,m_iHCurrentObjective,m_iRequireInstanceID,m_iRepeatflag,m_iKorStReqLvlMin,m_iCTRReqLvMin,m_iCTRReqLvMax,m_iCSTRReqNano,m_iCSTReqGuide,m_iCSTReqMission,m_iCSTEntranceGroupMin,m_iCSTEntranceGroupMax,m_iCSTItemID,m_iCSTItemNumNeeded,m_iCSTTrigger,m_iCSUCheckTimer,m_iCSUEnemyID,m_iCSUNumToKill,m_iCSUItemID,m_iCSUItemNumNeeded,m_iCSUDEFNPCID,m_iCSUDEFNPCAI,m_iCSUDEPNPCFollow,m_iSTGrantTimer,m_iSTItemID,m_iSTItemNumNeeded,m_iSTItemDropRate,m_iSTGrantWayPoint,m_iSTSpawnMonsterID,m_iSTSpwanLocation,m_iSTMessageType,m_iSTMessageTextID,m_iSTMessageSendNPC,m_iSTDialogBubble,m_iSTDialogBubbleNPCID,m_iSTJournalIDAdd,m_pstrSTScript,m_iSTNanoID,m_iKorSuccRewardID,m_iSUReward,m_iSUOutgoingMission,m_iSUOutgoingTask,m_iSUItem,m_iSUInstancename,m_iSUMessageType,m_iSUMessagetextID,m_iSUMessageSendNPC,m_iSUDialogBubble,m_iSUDialogBubbleNPCID,m_iSUJournaliDAdd,m_iFOutgoingMission,m_iFOutgoingTask,m_iFItemID,m_iFItemNumNeeded,m_iFMessageType,m_iFMessageTextID,m_iFMessageSendNPC,m_iFDialogBubble,m_iFDialogBubbleNPCID,m_iFJournalIDAdd,m_iDelItemID,m_iMentorEmailID
3,284,4590,5,163,711,711,0,1,"[0, 0, 0, 0]",4596,0,0,27,9,0,"[0, 0, 0, 0, 0]",0,"[283, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[304, 0, 0]","[7, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1332,0,0,0,0,0,0,0,907,0,0,0,0,0,908,"[0, 0, 0]","[0, 0, 0]",2,4597,711,0,0,907,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,284,4590,1,907,0,711,702,1,"[0, 0, 0, 0]",10925,0,0,27,9,0,"[0, 0, 0, 0, 0]",0,"[283, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",702,0,0,2,10926,711,0,0,163,0,0,0,0,0,909,"[238, 0, 0]","[1, 0, 0]",0,0,0,10927,702,163,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,284,4590,5,908,0,711,0,1,"[0, 0, 0, 0]",4599,0,0,27,9,0,"[0, 0, 0, 0, 0]",0,"[283, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[305, 0, 0]","[7, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",918,0,0,0,0,0,0,0,908,0,0,0,0,0,907,"[0, 0, 0]","[0, 0, 0]",2,4601,711,0,0,908,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[238, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,284,4590,4,909,0,711,711,1,"[0, 0, 0, 0]",4603,0,0,27,9,0,"[0, 0, 0, 0, 0]",0,"[283, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[238, 0, 0]","[1, 0, 0]",0,0,0,0,"[238, 0, 0]","[0, 0, 0]","[0, 0, 0]",711,0,0,2,4604,711,0,0,909,0,0,0,210,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,4605,711,909,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[238, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,285,4606,2,910,711,711,1359,0,"[0, 0, 0, 0]",4612,0,0,27,9,0,"[0, 0, 0, 0, 0]",0,"[284, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1359,0,0,0,0,0,0,0,910,0,0,0,0,0,912,"[0, 0, 0]","[0, 0, 0]",2,4613,711,0,0,910,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,285,4606,2,911,0,711,1359,0,"[0, 0, 0, 0]",4615,0,0,27,9,0,"[0, 0, 0, 0, 0]",0,"[284, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1359,0,0,2,4616,711,0,0,911,0,0,0,0,0,912,"[0, 0, 0]","[0, 0, 0]",2,4617,711,0,0,910,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,285,4606,3,912,0,711,1394,0,"[0, 0, 0, 0]",4619,0,0,27,9,0,"[0, 0, 0, 0, 0]",0,"[284, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,240,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,240,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1394,0,0,2,4620,711,0,0,912,0,0,0,211,0,0,"[0, 0, 0]","[0, 0, 0]",2,4621,711,0,0,912,0,911,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,286,4468,2,881,711,711,1347,1,"[0, 0, 0, 0]",4474,0,0,27,9,0,"[0, 0, 0, 0, 0]",0,"[285, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[232, 0, 0]","[1, 0, 0]","[0, 0, 0]",1347,0,0,0,0,0,0,0,881,0,0,0,0,0,882,"[0, 0, 0]","[0, 0, 0]",2,4475,711,0,0,881,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[232, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,286,4468,2,882,0,711,1349,1,"[0, 0, 0, 0]",4477,0,0,27,9,0,"[0, 0, 0, 0, 0]",0,"[285, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1348,0,0,0,0,0,0,0,882,0,0,0,0,0,883,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,881,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[232, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,286,4468,5,883,0,711,0,1,"[0, 0, 0, 0]",10928,37,0,27,9,0,"[0, 0, 0, 0, 0]",0,"[285, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[10, 0, 0]","[1, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",10,0,0,2,4478,711,0,0,883,0,0,0,0,0,884,"[0, 0, 0]","[0, 0, 0]",2,4479,711,0,0,883,0,881,"[232, 0, 0]","[-1, 0, 0]",0,0,0,0,0,0,"[232, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,286,4468,1,884,0,711,711,1,"[10929, 10930, 10931, 10932]",4481,0,0,27,9,0,"[0, 0, 0, 0, 0]",0,"[285, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",711,0,0,2,4482,711,0,0,884,0,0,0,202,0,0,"[232, 0, 0]","[-1, 0, 0]",2,4483,711,0,0,884,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[232, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,287,4710,5,917,704,704,0,0,"[0, 0, 0, 0]",4716,0,0,27,9,0,"[0, 0, 0, 0, 0]",0,"[264, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[309, 0, 0]","[5, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1469,0,0,0,0,0,0,0,917,0,0,0,0,0,918,"[241, 0, 0]","[5, 0, 0]",2,4717,704,0,0,917,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[241, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,287,4710,4,918,0,704,704,0,"[0, 0, 0, 0]",4719,0,0,27,9,0,"[0, 0, 0, 0, 0]",0,"[264, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[241, 0, 0]","[5, 0, 0]",0,0,0,0,"[241, 0, 0]","[0, 0, 0]","[0, 0, 0]",704,0,0,0,0,0,0,0,918,0,0,0,212,0,0,"[241, 0, 0]","[-5, 0, 0]",0,0,0,4720,704,918,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[241, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,288,4721,3,919,718,718,1426,1,"[0, 0, 0, 0]",4727,0,0,27,9,0,"[0, 0, 0, 0, 0]",0,"[287, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1426,0,0,0,0,0,0,0,919,0,0,0,0,0,921,"[242, 0, 0]","[1, 0, 0]",2,4728,718,0,0,919,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,288,4721,2,920,0,718,1362,1,"[0, 0, 0, 0]",4730,0,0,27,9,0,"[0, 0, 0, 0, 0]",0,"[287, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1362,0,0,2,4731,718,0,0,920,0,0,0,0,0,922,"[0, 0, 0]","[0, 0, 0]",2,4732,718,0,0,920,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[242, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,288,4721,3,921,0,718,1427,1,"[0, 0, 0, 0]",4734,0,0,27,9,0,"[0, 0, 0, 0, 0]",0,"[287, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1427,0,0,0,0,0,0,0,921,0,0,0,0,0,922,"[242, 0, 0]","[1, 0, 0]",2,4735,718,0,0,921,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[242, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,288,4721,3,922,0,718,1428,1,"[0, 0, 0, 0]",4737,0,0,27,9,0,"[0, 0, 0, 0, 0]",0,"[287, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,180,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,180,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1428,0,0,2,4738,718,0,0,922,0,0,0,0,0,923,"[242, 0, 0]","[1, 0, 0]",2,4739,718,0,0,922,0,920,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[242, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,288,4721,3,923,0,718,2566,1,"[0, 0, 0, 0]",4741,0,0,27,9,0,"[0, 0, 0, 0, 0]",0,"[287, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[242, 0, 0]","[3, 0, 0]",0,0,0,0,"[242, 0, 0]","[0, 0, 0]","[0, 0, 0]",2566,0,0,2,4742,718,0,0,923,0,0,0,213,0,0,"[242, 0, 0]","[-3, 0, 0]",0,0,0,4743,1244,923,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[242, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,289,4744,5,924,710,710,0,2,"[0, 0, 0, 0]",4750,0,0,33,11,0,"[0, 0, 0, 0, 0]",0,"[0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[322, 0, 0]","[3, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",935,0,0,0,0,0,0,0,924,0,0,0,0,0,925,"[0, 0, 0]","[0, 0, 0]",2,4751,710,0,0,924,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,289,4744,3,925,0,710,1429,2,"[0, 0, 0, 0]",4753,0,0,33,11,0,"[0, 0, 0, 0, 0]",0,"[0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1429,0,0,2,4754,710,0,0,925,0,0,0,0,0,926,"[243, 0, 0]","[1, 0, 0]",2,4755,710,0,0,926,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,289,4744,3,926,0,710,1430,2,"[0, 0, 0, 0]",4757,0,0,33,11,0,"[0, 0, 0, 0, 0]",0,"[0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1430,0,0,2,4758,710,0,0,926,0,0,0,0,0,927,"[243, 0, 0]","[1, 0, 0]",2,4759,710,0,0,926,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[243, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,289,4744,3,927,0,710,1431,2,"[0, 0, 0, 0]",4761,0,0,33,11,0,"[0, 0, 0, 0, 0]",0,"[0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1431,0,0,2,4762,710,0,0,927,0,0,0,0,0,928,"[243, 0, 0]","[1, 0, 0]",2,4763,710,0,0,927,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[243, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,289,4744,3,928,0,710,1432,2,"[0, 0, 0, 0]",4765,0,0,33,11,0,"[0, 0, 0, 0, 0]",0,"[0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1432,0,0,2,4766,710,0,0,928,0,0,0,0,0,929,"[244, 0, 0]","[1, 0, 0]",2,4767,710,0,0,928,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[243, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,289,4744,4,929,0,710,710,2,"[0, 0, 0, 0]",4769,0,0,33,11,0,"[0, 0, 0, 0, 0]",0,"[0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[243, 244, 0]","[3, 1, 0]",0,0,0,0,"[243, 244, 0]","[0, 0, 0]","[0, 0, 0]",710,0,0,2,4770,711,0,0,929,0,0,0,214,0,0,"[243, 244, 0]","[-3, -1, 0]",0,0,0,4771,710,929,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[243, 244, 0, 0]","[0, 0, 0, 0, 0]"
3,290,4772,2,930,710,710,897,1,"[0, 0, 0, 0]",4778,0,0,33,11,0,"[0, 0, 0, 0, 0]",0,"[289, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",897,0,0,4,4779,704,0,0,930,0,0,0,0,0,932,"[0, 0, 0]","[0, 0, 0]",2,4780,710,0,0,930,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,290,4772,2,931,0,710,897,1,"[0, 0, 0, 0]",4782,0,0,33,11,0,"[0, 0, 0, 0, 0]",0,"[289, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",897,0,0,2,4783,704,0,0,931,0,0,0,0,0,932,"[0, 0, 0]","[0, 0, 0]",2,4784,710,0,0,0,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,290,4772,3,932,0,710,1433,1,"[0, 0, 0, 0]",4786,0,0,33,11,0,"[0, 0, 0, 0, 0]",0,"[289, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,500,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,500,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1433,0,0,2,4787,710,0,0,932,0,0,0,0,0,933,"[0, 0, 0]","[0, 0, 0]",2,4788,704,0,0,932,0,931,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,290,4772,3,933,0,710,1434,1,"[0, 0, 0, 0]",4790,0,0,33,11,0,"[0, 0, 0, 0, 0]",0,"[289, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1434,0,0,2,4791,710,0,0,933,0,0,0,0,0,2101,"[0, 0, 0]","[0, 0, 0]",2,4792,710,0,0,933,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,290,4772,1,2101,0,710,710,1,"[0, 0, 0, 0]",10934,0,0,33,11,0,"[0, 0, 0, 0, 0]",0,"[289, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",710,0,0,2,10935,710,0,0,2101,0,0,0,215,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,10936,2,2101,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,291,4793,2,934,710,710,1364,2,"[0, 0, 0, 0]",4799,0,0,33,11,0,"[0, 0, 0, 0, 0]",0,"[290, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[245, 246, 0]","[1, 1, 0]","[0, 0, 0]",1364,0,0,2,4800,710,0,0,934,0,0,0,0,0,935,"[0, 0, 0]","[0, 0, 0]",2,4801,710,0,0,934,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[245, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,291,4793,2,935,0,710,1364,2,"[0, 0, 0, 0]",4803,0,0,33,11,0,"[0, 0, 0, 0, 0]",0,"[290, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1364,0,0,2,4804,710,0,0,935,0,0,0,0,0,936,"[245, 0, 0]","[-1, 0, 0]",0,0,0,0,0,935,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[245, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,291,4793,2,936,0,710,1365,2,"[0, 0, 0, 0]",4807,0,0,33,11,0,"[0, 0, 0, 0, 0]",0,"[290, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1364,0,0,2,4808,711,0,0,936,0,0,0,0,0,937,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,935,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[246, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,291,4793,5,937,0,710,0,2,"[0, 0, 0, 0]",4810,38,0,33,11,0,"[0, 0, 0, 0, 0]",0,"[290, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[1435, 0, 0]","[5, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,0,0,937,0,0,0,0,0,938,"[0, 0, 0]","[0, 0, 0]",2,4811,710,0,0,937,0,936,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[246, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,291,4793,5,938,0,710,0,2,"[0, 0, 0, 0]",4813,38,0,33,11,0,"[0, 0, 0, 0, 0]",0,"[290, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[1195, 0, 0]","[1, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1195,0,0,2,4814,710,0,0,938,0,0,0,0,0,939,"[246, 0, 0]","[-1, 0, 0]",2,4815,710,0,0,938,0,936,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[246, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,291,4793,2,939,0,710,1364,2,"[0, 0, 0, 0]",4817,0,0,33,11,0,"[0, 0, 0, 0, 0]",0,"[290, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1364,0,0,2,4818,711,0,0,939,0,0,0,0,0,2454,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,939,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,291,4793,1,2454,0,710,710,2,"[4819, 4820, 4821, 4822]",12820,0,0,33,11,0,"[0, 0, 0, 0, 0]",0,"[290, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",710,0,0,2,12821,710,0,0,2454,0,0,0,216,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,21822,710,2454,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,292,4823,5,940,714,714,0,0,"[0, 0, 0, 0]",4829,0,0,30,10,0,"[0, 0, 0, 0, 0]",0,"[0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[317, 0, 0]","[5, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",936,0,0,0,0,0,0,0,940,0,0,0,0,0,2102,"[0, 0, 0]","[0, 0, 0]",2,4830,714,0,0,940,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,292,4823,1,2102,0,714,714,0,"[0, 0, 0, 0]",10937,0,0,30,10,0,"[0, 0, 0, 0, 0]",0,"[0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",714,0,0,0,0,0,0,0,2102,0,0,0,217,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,10938,714,2102,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,293,4831,3,941,715,715,1436,1,"[0, 0, 0, 0]",4837,0,0,30,10,0,"[0, 0, 0, 0, 0]",0,"[292, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1436,0,0,0,0,0,0,0,941,0,0,0,0,0,942,"[247, 0, 0]","[1, 0, 0]",2,4838,715,0,0,941,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[247, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,293,4831,3,942,0,715,1437,1,"[0, 0, 0, 0]",4840,0,0,30,10,0,"[0, 0, 0, 0, 0]",0,"[292, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1437,0,0,0,0,0,0,0,942,0,0,0,0,0,943,"[247, 0, 0]","[1, 0, 0]",2,4841,715,0,0,942,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[247, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,293,4831,3,943,0,715,1438,1,"[0, 0, 0, 0]",4843,0,0,30,10,0,"[0, 0, 0, 0, 0]",0,"[292, 0]",0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1438,0,0,2,10939,708,0,0,943,0,0,0,0,0,944,"[247, 0, 0]","[1, 0, 0]",2,4845,715,0,0,943,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,0,0,0,0,"[247, 0, 0, 0]","[0, 0, 0, 0, 0]"
